show_id,Show Title,Year,Previews Date,Opening Date,Closing Date,Theatre Name,Production Type,Show Type,Show Type (Simple),Intermissions,N Performances,Run Time,Show Not Opened,Revival,Other Titles,Official Website,N People,N Performers,N Creative Team,theatre_id,Theatre Full Address,Theatre Street Address,Theatre Address Locality,Theatre Address Region,Theatre Postal Code,Theatre Year Closed,Theatre Year Demolished,Theatre Capacity
331204,Allegiance,2015,2015-10-06,2015-11-08,2016-02-14,Longacre Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.allegiancemusical.com/,37,21,16,5211.0,220 West 48th Street New York NY,220 West 48th Street,New York,NY,,,,1091.0
331391,Lord of the Dance: Dangerous Games,2015,2015-11-07,2015-11-10,2016-01-03,Lyric Theatre (Broadway),Premiere,Dance,Other,,,,False,False,,http//www.lordofthedance.com/,10,4,8,7358.0,214 W. 42nd St. New York NY,214 W. 42nd St.,New York,NY,,1934.0,1996.0,1938.0
331282,A View from the Bridge,2015,2015-10-21,2015-11-12,2016-02-21,Lyceum Theatre (Broadway),Revival,Play,Play,1.0,,,False,True,,http//www.aviewfromthebridgebroadway.com,20,7,13,7033.0,149 W. 45th St. New York NY 10036,149 W. 45th St.,New York,NY,10036,,,922.0
331274,Misery,2015,2015-10-22,2015-11-15,2016-02-14,Broadhurst Theatre,Premiere,Play,Play,1.0,,,False,False,,http//www.miserybroadway.com/,24,5,19,5016.0,235 W. 44th St. New York NY,235 W. 44th St.,New York,NY,,,,1186.0
331404,The Illusionists,2015,2015-11-19,2015-11-19,2016-01-03,Neil Simon Theatre,Production,Performance,Other,1.0,,,False,False,,http//www.theillusionistslive.com/ticket,14,0,14,6985.0,250 W. 52nd St. New York NY 10019,250 W. 52nd St.,New York,NY,10019,,,1467.0
331132,China Doll,2015,2015-10-21,2015-12-04,2016-01-31,Gerald Schoenfeld Theatre,Original Production,Play,Play,1.0,,,False,False,,http//www.chinadollbroadway.com/,11,2,10,5933.0,236 West 45th St. New York NY,236 West 45th St.,New York,NY,,,,1079.0
331155,School of Rock,2015,2015-11-09,2015-12-06,2019-01-20,Winter Garden Theatre (Broadway),Original Production,Musical,Musical,1.0,,,False,False,,http//schoolofrockthemusical.com/,57,36,23,7070.0,1634 Broadway (At W. 50th St.) New York NY 10019,1634 Broadway (At W. 50th St.),New York,NY,10019,,,1526.0
331203,The Color Purple,2015,2015-11-10,2015-12-10,2017-01-08,Bernard B. Jacobs Theatre,Revival,Musical,Musical,1.0,,,False,True,,http//colorpurple.com/,32,20,12,5934.0,242 West 45th St. New York NY,242 West 45th St.,New York,NY,,,,1078.0
331136,Fiddler on the Roof,2015,2015-11-20,2015-12-20,2016-12-31,Broadway Theatre (Broadway),Revival,Musical,Musical,1.0,,,False,True,Anatevka (German title),http//fiddlermusical.com/,47,30,20,5017.0,1681 Broadway New York NY,1681 Broadway,New York,NY,,,,1761.0
331412,Our Mother's Brief Affair,2015,2015-12-28,2016-01-20,2016-03-06,Samuel J. Friedman Theatre,Original Production,Play,Play,1.0,,,False,False,,http//ourmothersbriefaffairbroadway.com/,15,4,11,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
330398,Nerds,2016,,,,,Premiere,Musical,Musical,1.0,,,True,False,Nerds//A Musical Software Satire (alternate title),http//www.nerdsmusical.com/,29,14,15,,,,,,,,,
331409,The Humans,2016,2016-01-23,2016-02-18,2017-01-15,Hayes Theatre,Premiere,Play,Play,0.0,,,False,False,,http//www.thehumansonbroadway.com/,21,6,15,5236.0,240 West 44th St. New York NY,240 West 44th St.,New York,NY,,,,597.0
331384,Hughie,2016,2016-02-08,2016-02-25,2016-03-27,Booth Theatre (Broadway),Revival,Play,Play,0.0,,,False,True,,http//www.hughiebroadway.com/,12,3,9,5334.0,222 West 45th St. New York NY,222 West 45th St.,New York,NY,,,,766.0
331413,Eclipsed,2016,2016-02-23,2016-03-06,2016-06-19,John Golden Theatre,Premiere,Play,Play,1.0,,,False,False,,http//eclipsedbroadway.com/,18,8,10,5043.0,252 West 45th St. New York NY,252 West 45th St.,New York,NY,,,,805.0
331410,Disaster!,2016,2016-02-09,2016-03-08,2016-05-08,Nederlander Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.disastermusical.com/,33,18,16,7047.0,208 W. 41st St. New York NY 10036,208 W. 41st St.,New York,NY,10036,,,1235.0
331396,Blackbird,2016,2016-02-05,2016-03-10,2016-06-11,Belasco Theatre,Premiere,Play,Play,0.0,,,False,False,,http//blackbirdbroadway.com/,13,5,8,5205.0,111 West 44th St. New York NY,111 West 44th St.,New York,NY,,,,1018.0
331296,She Loves Me,2016,2016-02-19,2016-03-17,2016-07-10,Studio 54,Revival,Musical,Musical,1.0,,,False,True,Sie liebt mich... (German title),http//www.roundabouttheatre.org/Shows-Ev,38,20,18,5132.0,254 West 54th St. New York NY,254 West 54th St.,New York,NY,,,,1006.0
331411,Bright Star,2016,2016-02-25,2016-03-24,2016-06-26,Cort Theatre (Broadway),Premiere,Musical,Musical,1.0,,,False,False,,http//brightstarmusical.com/,47,22,25,5028.0,138 West 48th St. New York NY,138 West 48th St.,New York,NY,,,,1084.0
331368,The Crucible,2016,2016-03-01,2016-03-31,2016-07-17,Walter Kerr Theatre,Revival,Play,Play,1.0,,,False,True,,http//www.thecrucibleonbroadway.com/,29,18,11,5537.0,219 West 48th St. New York NY,219 West 48th St.,New York,NY,,,,945.0
331360,The Father,2016,2016-03-22,2016-04-14,2016-06-19,Samuel J. Friedman Theatre,Premiere,Play,Play,0.0,,,False,False,,http//www.manhattantheatreclub.com/2015-,18,6,12,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
331080,American Psycho,2016,2016-03-24,2016-04-21,2016-06-05,Gerald Schoenfeld Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//americanpsychobroadway.com/,42,20,22,5933.0,236 West 45th St. New York NY,236 West 45th St.,New York,NY,,,,1079.0
331376,Waitress,2016,2016-03-25,2016-04-24,2020-01-05,Brooks Atkinson Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//waitressthemusical.com/,39,16,25,5018.0,256 W. 47th St. New York NY,256 W. 47th St.,New York,NY,,,,1094.0
330662,Tuck Everlasting,2016,2016-03-31,2016-04-26,2016-05-29,Broadhurst Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//www.tuckeverlastingmusical.com/,43,29,17,5016.0,235 W. 44th St. New York NY,235 W. 44th St.,New York,NY,,,,1186.0
331279,Long Day's Journey Into Night,2016,2016-03-31,2016-04-27,2016-06-26,American Airlines Theatre,Revival,Play,Play,1.0,,,False,True,,http//www.roundabouttheatre.org/Shows-Ev,19,5,14,5013.0,229 W. 42nd St. New York NY,229 W. 42nd St.,New York,NY,,,,740.0
331367,Shuffle Along Or The Making of the Musical Sensation of 1921 and All That Followed,2016,2016-03-15,2016-04-28,2016-07-24,Music Box Theatre,Original Production,Musical,Musical,1.0,,,False,False,,http//shufflealongbroadway.com/,50,34,17,5057.0,239 West 45th St. New York NY,239 West 45th St.,New York,NY,,,,1009.0
331382,Cirque du Soleil Paramour,2016,2016-04-16,2016-05-25,2017-04-16,Lyric Theatre (Broadway),Original Production,Musical,Musical,,,,False,False,,http//www.paramouronbroadway.com/,62,38,24,7358.0,214 W. 42nd St. New York NY,214 W. 42nd St.,New York,NY,,1934.0,1996.0,1938.0
331523,An Act of God,2016,2016-05-28,2016-06-06,2016-09-04,Booth Theatre (Broadway),Revival,Play,Play,0.0,,,False,True,,http//anactofgod.com/,12,1,11,5334.0,222 West 45th St. New York NY,222 West 45th St.,New York,NY,,,,766.0
